timestamp,quantity,bidding_zone,data_type,zone_code,zone_name,country
2024-01-03 21:00:00+00:00,7100.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 22:00:00+00:00,7038.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 23:00:00+00:00,6976.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 00:00:00+00:00,6945.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 01:00:00+00:00,6900.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 02:00:00+00:00,6839.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 03:00:00+00:00,6745.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 04:00:00+00:00,6624.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 05:00:00+00:00,6541.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 06:00:00+00:00,6476.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 07:00:00+00:00,6362.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 08:00:00+00:00,6258.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 09:00:00+00:00,6173.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 10:00:00+00:00,6087.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 11:00:00+00:00,6053.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 12:00:00+00:00,6298.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 13:00:00+00:00,6235.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 14:00:00+00:00,6101.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 15:00:00+00:00,5988.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 16:00:00+00:00,5938.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 17:00:00+00:00,5830.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 18:00:00+00:00,5675.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 19:00:00+00:00,5612.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 20:00:00+00:00,5731.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 21:00:00+00:00,5620.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 22:00:00+00:00,5559.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-04 23:00:00+00:00,5448.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-01 00:00:00+00:00,7335.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 01:00:00+00:00,7265.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 02:00:00+00:00,7248.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 03:00:00+00:00,7202.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 04:00:00+00:00,7143.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 05:00:00+00:00,7066.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 06:00:00+00:00,7001.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 07:00:00+00:00,6922.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 08:00:00+00:00,6878.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 09:00:00+00:00,6835.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 10:00:00+00:00,6785.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 11:00:00+00:00,6755.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 12:00:00+00:00,6752.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 13:00:00+00:00,6699.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 14:00:00+00:00,6680.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 15:00:00+00:00,6654.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 16:00:00+00:00,6703.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 17:00:00+00:00,6707.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 18:00:00+00:00,6723.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 19:00:00+00:00,6724.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 20:00:00+00:00,6805.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 21:00:00+00:00,6867.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 22:00:00+00:00,6912.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-01 23:00:00+00:00,6907.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 00:00:00+00:00,6871.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 01:00:00+00:00,6892.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 02:00:00+00:00,6957.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 03:00:00+00:00,6959.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 04:00:00+00:00,7064.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 05:00:00+00:00,7146.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 06:00:00+00:00,7139.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 07:00:00+00:00,7130.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 08:00:00+00:00,7206.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 09:00:00+00:00,7280.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 10:00:00+00:00,7376.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 11:00:00+00:00,7445.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 12:00:00+00:00,7564.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 13:00:00+00:00,7648.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 14:00:00+00:00,7724.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 15:00:00+00:00,7827.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 16:00:00+00:00,7917.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 17:00:00+00:00,8009.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 18:00:00+00:00,8073.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 19:00:00+00:00,8115.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 20:00:00+00:00,8168.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 21:00:00+00:00,8160.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 22:00:00+00:00,8239.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-02 23:00:00+00:00,8251.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 00:00:00+00:00,8248.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 01:00:00+00:00,8221.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 02:00:00+00:00,8198.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 03:00:00+00:00,8132.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 04:00:00+00:00,8140.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 05:00:00+00:00,8108.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 06:00:00+00:00,8091.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 07:00:00+00:00,8051.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 08:00:00+00:00,8062.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 09:00:00+00:00,8071.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 10:00:00+00:00,8055.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 11:00:00+00:00,7991.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 12:00:00+00:00,7996.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 13:00:00+00:00,8047.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 14:00:00+00:00,8123.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 15:00:00+00:00,8283.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 16:00:00+00:00,8457.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 17:00:00+00:00,8517.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 18:00:00+00:00,8592.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 19:00:00+00:00,8647.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 20:00:00+00:00,8742.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
2024-01-03 21:00:00+00:00,8813.0,10YBE----------2,actual_load,10YBE----------2,Belgium,BE
