,Forecasted Load
2025-05-18 11:30:00+02:00,16800.0
2025-05-18 11:45:00+02:00,16850.0
2025-05-18 12:00:00+02:00,16850.0
2025-05-18 12:15:00+02:00,16850.0
2025-05-18 12:30:00+02:00,16850.0
2025-05-18 12:45:00+02:00,16850.0
2025-05-18 13:00:00+02:00,16850.0
2025-05-18 13:15:00+02:00,16850.0
2025-05-18 13:30:00+02:00,16800.0
2025-05-18 13:45:00+02:00,16800.0
2025-05-18 14:00:00+02:00,16800.0
2025-05-18 14:15:00+02:00,16800.0
2025-05-18 14:30:00+02:00,16800.0
2025-05-18 14:45:00+02:00,16800.0
2025-05-18 15:00:00+02:00,16800.0
2025-05-18 15:15:00+02:00,16800.0
2025-05-18 15:30:00+02:00,16800.0
2025-05-18 15:45:00+02:00,16800.0
2025-05-18 16:00:00+02:00,16800.0
2025-05-18 16:15:00+02:00,16800.0
2025-05-18 16:30:00+02:00,16800.0
2025-05-18 16:45:00+02:00,16800.0
2025-05-18 17:00:00+02:00,16800.0
2025-05-18 17:15:00+02:00,16800.0
2025-05-18 17:30:00+02:00,16800.0
2025-05-18 17:45:00+02:00,16800.0
2025-05-18 18:00:00+02:00,16800.0
2025-05-18 18:15:00+02:00,16800.0
2025-05-18 18:30:00+02:00,16850.0
2025-05-18 18:45:00+02:00,16900.0
2025-05-18 19:00:00+02:00,16900.0
2025-05-18 19:15:00+02:00,16900.0
2025-05-18 19:30:00+02:00,16900.0
2025-05-18 19:45:00+02:00,16900.0
2025-05-18 20:00:00+02:00,16900.0
2025-05-18 20:15:00+02:00,16900.0
2025-05-18 20:30:00+02:00,17000.0
2025-05-18 20:45:00+02:00,17000.0
2025-05-18 21:00:00+02:00,17000.0
2025-05-18 21:15:00+02:00,17000.0
2025-05-18 21:30:00+02:00,16850.0
2025-05-18 21:45:00+02:00,16650.0
2025-05-18 22:00:00+02:00,16400.0
2025-05-18 22:15:00+02:00,16100.0
2025-05-18 22:30:00+02:00,15800.0
2025-05-18 22:45:00+02:00,15550.0
2025-05-18 23:00:00+02:00,15200.0
2025-05-18 23:15:00+02:00,14900.0
2025-05-18 23:30:00+02:00,14650.0
2025-05-18 23:45:00+02:00,14400.0
