date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2024-01-01,6.8,2.3,4.4,57.0488,9.9217,DK-AAL,Aalborg,13.6,0,DK,Denmark
2024-01-02,7.1,2.8,4.8,57.0488,9.9217,DK-AAL,Aalborg,13.2,0,DK,Denmark
2023-12-30,-2.6,-5.9,-4.2,59.437,24.7536,EE-TAL,Tallinn,22.2,0,EE,Estonia
2023-12-31,-2.5,-7.5,-3.7,59.437,24.7536,EE-TAL,Tallinn,21.7,0,EE,Estonia
2024-01-01,-6.0,-9.6,-7.4,59.437,24.7536,EE-TAL,Tallinn,25.4,0,EE,Estonia
2024-01-02,-8.6,-11.3,-9.7,59.437,24.7536,EE-TAL,Tallinn,27.7,0,EE,Estonia
2023-12-30,-4.1,-7.5,-6.3,58.378,26.729,EE-TAR,Tartu,24.3,0,EE,Estonia
2023-12-31,-3.1,-8.3,-4.8,58.378,26.729,EE-TAR,Tartu,22.8,0,EE,Estonia
2024-01-01,-6.1,-9.1,-7.7,58.378,26.729,EE-TAR,Tartu,25.7,0,EE,Estonia
2024-01-02,-7.2,-13.7,-10.9,58.378,26.729,EE-TAR,Tartu,28.9,0,EE,Estonia
2023-12-30,-5.2,-6.9,-6.0,59.3772,28.1903,EE-NAR,Narva,24.0,0,EE,Estonia
2023-12-31,-5.9,-11.5,-7.9,59.3772,28.1903,EE-NAR,Narva,25.9,0,EE,Estonia
2024-01-01,-7.1,-11.5,-8.9,59.3772,28.1903,EE-NAR,Narva,26.9,0,EE,Estonia
2024-01-02,-8.6,-11.6,-10.1,59.3772,28.1903,EE-NAR,Narva,28.1,0,EE,Estonia
2023-12-30,-7.0,-11.5,-9.1,60.1699,24.9384,FI-HEL,Helsinki,27.1,0,FI,Finland
2023-12-31,-3.1,-6.4,-4.8,60.1699,24.9384,FI-HEL,Helsinki,22.8,0,FI,Finland
2024-01-01,-5.3,-9.2,-7.6,60.1699,24.9384,FI-HEL,Helsinki,25.6,0,FI,Finland
2024-01-02,-5.9,-6.8,-6.4,60.1699,24.9384,FI-HEL,Helsinki,24.4,0,FI,Finland
2023-12-30,-8.5,-11.3,-9.1,61.4991,23.7871,FI-TAM,Tampere,27.1,0,FI,Finland
2023-12-31,-8.0,-9.9,-8.8,61.4991,23.7871,FI-TAM,Tampere,26.8,0,FI,Finland
2024-01-01,-9.2,-11.8,-10.4,61.4991,23.7871,FI-TAM,Tampere,28.4,0,FI,Finland
2024-01-02,-5.0,-8.3,-7.0,61.4991,23.7871,FI-TAM,Tampere,25.0,0,FI,Finland
2023-12-30,-1.5,-10.2,-5.0,60.4518,22.2666,FI-TUR,Turku,23.0,0,FI,Finland
