date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2024-03-09,12.2,10.4,12.1,41.3851,2.1734,ES-BCN,Barcelona,5.9,0.0,ES,Spain
2024-03-10,15.6,10.2,12.8,41.3851,2.1734,ES-BCN,Barcelona,5.199999999999999,0.0,ES,Spain
2024-03-05,26.3,11.9,18.0,37.3891,-5.9845,ES-SEV,Seville,0.0,0.0,ES,Spain
2024-03-06,27.6,11.9,18.8,37.3891,-5.9845,ES-SEV,Seville,0.0,0.8000000000000007,ES,Spain
2024-03-07,27.0,13.3,19.2,37.3891,-5.9845,ES-SEV,Seville,0.0,1.1999999999999993,ES,Spain
2024-03-08,26.4,12.7,18.1,37.3891,-5.9845,ES-SEV,Seville,0.0,0.10000000000000142,ES,Spain
2024-03-09,18.3,10.0,14.0,37.3891,-5.9845,ES-SEV,Seville,4.0,0.0,ES,Spain
2024-03-10,15.5,6.8,11.4,37.3891,-5.9845,ES-SEV,Seville,6.6,0.0,ES,Spain
2024-03-05,18.4,4.0,10.4,41.9028,12.4964,IT-ROM,Rome,7.6,0.0,IT,Italy
2024-03-06,17.6,7.1,11.9,41.9028,12.4964,IT-ROM,Rome,6.1,0.0,IT,Italy
2024-03-07,17.1,8.4,12.4,41.9028,12.4964,IT-ROM,Rome,5.6,0.0,IT,Italy
2024-03-08,15.7,4.4,10.6,41.9028,12.4964,IT-ROM,Rome,7.4,0.0,IT,Italy
2024-03-09,13.6,3.8,8.5,41.9028,12.4964,IT-ROM,Rome,9.5,0.0,IT,Italy
2024-03-10,15.4,5.4,10.6,41.9028,12.4964,IT-ROM,Rome,7.4,0.0,IT,Italy
2024-03-05,14.5,2.4,8.0,45.4642,9.19,IT-MIL,Milan,10.0,0.0,IT,Italy
2024-03-06,12.9,2.3,7.7,45.4642,9.19,IT-MIL,Milan,10.3,0.0,IT,Italy
2024-03-07,16.2,3.5,8.7,45.4642,9.19,IT-MIL,Milan,9.3,0.0,IT,Italy
2024-03-08,11.0,1.0,5.6,45.4642,9.19,IT-MIL,Milan,12.4,0.0,IT,Italy
2024-03-09,11.9,0.5,5.9,45.4642,9.19,IT-MIL,Milan,12.1,0.0,IT,Italy
2024-03-10,8.2,2.9,6.0,45.4642,9.19,IT-MIL,Milan,12.0,0.0,IT,Italy
2024-03-05,16.1,4.9,10.0,40.8518,14.2681,IT-NAP,Naples,8.0,0.0,IT,Italy
2024-03-06,18.5,8.0,12.7,40.8518,14.2681,IT-NAP,Naples,5.300000000000001,0.0,IT,Italy
2024-03-07,16.2,9.6,12.9,40.8518,14.2681,IT-NAP,Naples,5.1,0.0,IT,Italy
2024-03-08,13.1,4.2,10.1,40.8518,14.2681,IT-NAP,Naples,7.9,0.0,IT,Italy
2024-03-09,13.1,3.7,8.3,40.8518,14.2681,IT-NAP,Naples,9.7,0.0,IT,Italy
2024-03-10,14.4,6.1,10.6,40.8518,14.2681,IT-NAP,Naples,7.4,0.0,IT,Italy
2024-03-05,9.5,0.2,5.3,50.0755,14.4378,CZ-PRG,Prague,12.7,0.0,CZ,Czech Republic
2024-03-06,10.2,-0.3,5.0,50.0755,14.4378,CZ-PRG,Prague,13.0,0.0,CZ,Czech Republic
2024-03-07,9.1,0.2,5.0,50.0755,14.4378,CZ-PRG,Prague,13.0,0.0,CZ,Czech Republic
2024-03-08,7.9,-0.5,3.3,50.0755,14.4378,CZ-PRG,Prague,14.7,0.0,CZ,Czech Republic
2024-03-09,11.0,0.4,4.8,50.0755,14.4378,CZ-PRG,Prague,13.2,0.0,CZ,Czech Republic
2024-03-10,9.9,-0.0,4.1,50.0755,14.4378,CZ-PRG,Prague,13.9,0.0,CZ,Czech Republic
2024-03-05,11.3,0.8,5.9,49.1951,16.6068,CZ-BRN,Brno,12.1,0.0,CZ,Czech Republic
2024-03-06,8.5,0.2,3.8,49.1951,16.6068,CZ-BRN,Brno,14.2,0.0,CZ,Czech Republic
2024-03-07,8.5,0.1,3.5,49.1951,16.6068,CZ-BRN,Brno,14.5,0.0,CZ,Czech Republic
2024-03-08,7.6,0.1,3.2,49.1951,16.6068,CZ-BRN,Brno,14.8,0.0,CZ,Czech Republic
2024-03-09,11.8,0.3,5.2,49.1951,16.6068,CZ-BRN,Brno,12.8,0.0,CZ,Czech Republic
2024-03-10,7.3,-0.8,2.8,49.1951,16.6068,CZ-BRN,Brno,15.2,0.0,CZ,Czech Republic
2024-03-05,10.5,-0.1,5.0,49.8209,18.2625,CZ-OST,Ostrava,13.0,0.0,CZ,Czech Republic
2024-03-06,8.1,-0.4,3.4,49.8209,18.2625,CZ-OST,Ostrava,14.6,0.0,CZ,Czech Republic
2024-03-07,7.0,-0.2,3.0,49.8209,18.2625,CZ-OST,Ostrava,15.0,0.0,CZ,Czech Republic
2024-03-08,6.2,-0.7,2.1,49.8209,18.2625,CZ-OST,Ostrava,15.9,0.0,CZ,Czech Republic
2024-03-09,6.5,-1.6,3.2,49.8209,18.2625,CZ-OST,Ostrava,14.8,0.0,CZ,Czech Republic
2024-03-10,7.0,-3.1,1.7,49.8209,18.2625,CZ-OST,Ostrava,16.3,0.0,CZ,Czech Republic
2024-03-05,12.4,1.0,6.9,48.1486,17.1077,SK-BRA,Bratislava,11.1,0.0,SK,Slovakia
2024-03-06,9.8,0.6,4.8,48.1486,17.1077,SK-BRA,Bratislava,13.2,0.0,SK,Slovakia
2024-03-07,9.4,0.1,4.4,48.1486,17.1077,SK-BRA,Bratislava,13.6,0.0,SK,Slovakia
2024-03-08,8.2,0.2,3.7,48.1486,17.1077,SK-BRA,Bratislava,14.3,0.0,SK,Slovakia
2024-03-09,11.4,0.2,5.1,48.1486,17.1077,SK-BRA,Bratislava,12.9,0.0,SK,Slovakia
2024-03-10,8.3,-0.6,3.5,48.1486,17.1077,SK-BRA,Bratislava,14.5,0.0,SK,Slovakia
2024-03-05,10.8,1.3,5.3,48.7164,21.2611,SK-KOS,Kosice,12.7,0.0,SK,Slovakia
2024-03-06,8.6,-0.0,3.5,48.7164,21.2611,SK-KOS,Kosice,14.5,0.0,SK,Slovakia
2024-03-07,4.4,-1.2,2.0,48.7164,21.2611,SK-KOS,Kosice,16.0,0.0,SK,Slovakia
2024-03-08,7.4,-1.7,2.7,48.7164,21.2611,SK-KOS,Kosice,15.3,0.0,SK,Slovakia
2024-03-09,5.9,-2.1,1.9,48.7164,21.2611,SK-KOS,Kosice,16.1,0.0,SK,Slovakia
2024-03-10,6.5,-3.2,1.6,48.7164,21.2611,SK-KOS,Kosice,16.4,0.0,SK,Slovakia
2024-03-05,9.3,-0.6,3.9,49.2231,18.7393,SK-ZIL,Zilina,14.1,0.0,SK,Slovakia
2024-03-06,6.9,-2.2,2.3,49.2231,18.7393,SK-ZIL,Zilina,15.7,0.0,SK,Slovakia
2024-03-07,5.6,-0.8,1.9,49.2231,18.7393,SK-ZIL,Zilina,16.1,0.0,SK,Slovakia
2024-03-08,4.7,-1.6,1.2,49.2231,18.7393,SK-ZIL,Zilina,16.8,0.0,SK,Slovakia
2024-03-09,5.0,-1.9,1.9,49.2231,18.7393,SK-ZIL,Zilina,16.1,0.0,SK,Slovakia
2024-03-10,5.3,-4.3,0.7,49.2231,18.7393,SK-ZIL,Zilina,17.3,0.0,SK,Slovakia
2024-03-05,13.9,0.9,7.0,47.4979,19.0402,HU-BUD,Budapest,11.0,0.0,HU,Hungary
2024-03-06,9.9,0.8,4.7,47.4979,19.0402,HU-BUD,Budapest,13.3,0.0,HU,Hungary
2024-03-07,8.3,0.3,4.1,47.4979,19.0402,HU-BUD,Budapest,13.9,0.0,HU,Hungary
2024-03-08,9.1,0.4,3.8,47.4979,19.0402,HU-BUD,Budapest,14.2,0.0,HU,Hungary
